,GPT-5.4,GPT-5.3,GPT-5.2,o3,GPT-4o,GPT-4o mini,GPT-3.5 Turbo,Claude Opus 4.6,Claude Sonnet 4.6,Claude Haiku 4.5,Gemini 3.1 Pro,Gemini 2.5 Flash,DeepSeek V3,Llama 3.3 70B,Qwen2.5 7B
Bakers,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.38095238095238093,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.619047619047619,0.7142857142857143,0.7142857142857143,0.6190476190476192
Barbers,0.6666666666666666,0.49999999999999994,0.5833333333333333,0.49999999999999994,0.5833333333333333,0.41666666666666663,0.3333333333333333,0.6666666666666666,0.49999999999999994,0.41666666666666663,0.5833333333333334,0.25,0.3333333333333333,0.3333333333333333,0.25
Bartenders,0.7666666666666666,0.9,0.7,0.7,0.6333333333333333,0.4,0.4,0.7333333333333333,0.7999999999999999,0.39999999999999997,0.7,0.6,0.3333333333333333,0.4666666666666667,0.26666666666666666
Biochemists and Biophysicists,0.7499999999999999,0.7499999999999999,0.75,0.41666666666666663,0.41666666666666663,0.25,0.16666666666666666,0.7499999999999999,0.7499999999999999,0.5833333333333333,0.6666666666666666,0.49999999999999994,0.3333333333333333,0.16666666666666666,0.16666666666666666
Biofuels Processing Technicians,0.7333333333333333,0.5333333333333333,0.8,0.4666666666666666,0.5333333333333333,0.26666666666666666,0.3333333333333333,0.4,0.6666666666666667,0.5333333333333333,0.6,0.3333333333333333,0.4666666666666666,0.3333333333333333,0.26666666666666666
"Bookkeeping, Accounting, and Auditing Clerks",0.3333333333333333,0.1111111111111111,0.0,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.0,0.6666666666666666,0.2222222222222222,0.6666666666666666,0.0,0.2222222222222222,0.0,0.0,0.0
"Bus Drivers, School",0.41666666666666663,0.16666666666666666,0.49999999999999994,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.6666666666666666,0.75,0.5833333333333333,0.5833333333333334,0.41666666666666663,0.3333333333333333,0.5,0.25
Bus and Truck Mechanics and Diesel Engine Specialists,0.25,0.3333333333333333,0.0,0.25,0.0,0.25,0.16666666666666666,0.41666666666666663,0.08333333333333333,0.5,0.25,0.3333333333333333,0.0,0.25,0.0
Butchers and Meat Cutters,0.611111111111111,0.6666666666666666,0.5,0.38888888888888884,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.49999999999999994,0.5,0.5555555555555556,0.27777777777777773,0.4444444444444444,0.3888888888888889
Cardiologists,0.7333333333333333,0.8,0.8,0.6333333333333333,0.3333333333333333,0.3,0.2,0.7,0.7,0.6333333333333333,0.8,0.5999999999999999,0.3,0.26666666666666666,0.26666666666666666
"Career/Technical Education Teachers, Middle School",0.3333333333333333,0.2,0.4,0.4666666666666666,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.4,0.5333333333333333,0.39999999999999997,0.4,0.5333333333333333,0.0,0.06666666666666667,0.13333333333333333
Carpenters,0.4,0.4,0.4,0.4,0.0,0.3333333333333333,0.2,0.6,0.6,0.7999999999999999,0.5333333333333333,0.4666666666666666,0.2,0.2,0.2
Cement Masons and Concrete Finishers,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.3333333333333333
Chemical Equipment Operators and Tenders,0.6666666666666666,0.41666666666666663,0.3333333333333333,0.25,0.25,0.16666666666666666,0.0,0.41666666666666663,0.41666666666666663,0.6666666666666666,0.5833333333333334,0.75,0.0,0.25,0.0
Chemists,0.7222222222222222,0.6944444444444443,0.75,0.611111111111111,0.5,0.38888888888888884,0.5,0.7222222222222222,0.7222222222222222,0.5555555555555555,0.7222222222222222,0.5833333333333334,0.5277777777777778,0.3333333333333333,0.38888888888888884
Childcare Workers,0.5925925925925926,0.48148148148148157,0.37037037037037035,0.4074074074074074,0.2962962962962963,0.29629629629629634,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.3333333333333333,0.6296296296296295,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.2962962962962963
Civil Engineers,0.6388888888888888,0.611111111111111,0.6388888888888888,0.5277777777777778,0.47222222222222215,0.27777777777777773,0.2222222222222222,0.5833333333333334,0.5,0.611111111111111,0.5833333333333334,0.5,0.2777777777777778,0.3055555555555555,0.2777777777777778
Clergy,0.7272727272727273,0.696969696969697,0.6666666666666666,0.5757575757575757,0.6363636363636364,0.30303030303030304,0.6363636363636364,0.7272727272727273,0.6363636363636364,0.3939393939393939,0.7272727272727273,0.5454545454545454,0.6363636363636364,0.5454545454545454,0.6363636363636364
Clinical and Counseling Psychologists,0.6666666666666666,0.5555555555555555,0.611111111111111,0.6666666666666666,0.4444444444444444,0.0,0.27777777777777773,0.6666666666666666,0.4444444444444444,0.8333333333333334,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.38888888888888884,0.38888888888888884
Commercial Pilots,0.625,0.625,0.5833333333333333,0.41666666666666663,0.29166666666666663,0.08333333333333333,0.29166666666666663,0.7083333333333333,0.45833333333333337,0.4583333333333333,0.6666666666666666,0.625,0.29166666666666663,0.3333333333333333,0.25
Community Health Workers,0.6944444444444445,0.8333333333333334,0.8055555555555557,0.638888888888889,0.6666666666666666,0.3333333333333333,0.47222222222222227,0.7777777777777778,0.8333333333333334,0.6388888888888888,0.6944444444444443,0.3611111111111111,0.75,0.6666666666666666,0.5833333333333334
Construction Laborers,0.75,0.5,0.6666666666666667,0.75,0.5,0.41666666666666663,0.5,0.75,0.75,0.3333333333333333,0.5,0.3333333333333333,0.5,0.5,0.5
Construction Managers,0.8,0.8,0.6,0.7333333333333333,0.5333333333333333,0.06666666666666667,0.2,0.6,0.6666666666666667,0.7333333333333333,0.6,0.7333333333333333,0.2,0.2,0.2
"Cooks, Institution and Cafeteria",0.8888888888888888,0.6666666666666666,0.7777777777777778,0.8888888888888888,0.5555555555555555,0.5555555555555555,0.6666666666666666,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.2222222222222222
"Cooks, Restaurant",1.0,0.8888888888888888,1.0,1.0,0.8888888888888888,0.2222222222222222,0.7777777777777777,1.0,1.0,0.5555555555555555,0.6666666666666666,0.5555555555555555,0.8888888888888888,0.7777777777777777,0.6666666666666666
Correctional Officers and Jailers,0.5833333333333333,0.75,0.75,0.75,0.5,0.41666666666666663,0.5,0.75,0.75,0.41666666666666663,0.75,0.5833333333333333,0.5833333333333333,0.5,0.3333333333333333
Cost Estimators,0.4666666666666666,0.4,0.3333333333333333,0.4,0.2,0.4666666666666666,0.3333333333333333,0.9333333333333332,0.9333333333333332,0.26666666666666666,1.0,0.6,0.4,0.4,0.3333333333333333
Craft Artists,0.5833333333333334,0.16666666666666666,0.9166666666666666,0.49999999999999994,0.25,0.25,0.16666666666666666,0.5833333333333333,0.5833333333333334,0.3333333333333333,0.75,0.75,0.3333333333333333,0.25,0.3333333333333333
Credit Analysts,0.8666666666666668,0.9333333333333332,0.8,0.6,0.6,0.5333333333333333,0.4,0.8,0.8,0.6666666666666666,0.6,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.4
Customer Service Representatives,0.7666666666666666,0.5666666666666667,0.36666666666666664,0.5333333333333333,0.6,0.4666666666666666,0.4333333333333333,0.7333333333333333,0.4333333333333333,0.6666666666666666,0.5333333333333333,0.5333333333333334,0.36666666666666664,0.4333333333333333,0.26666666666666666
Data Scientists,0.625,0.5,0.375,0.6666666666666667,0.375,0.3333333333333333,0.125,0.5416666666666666,0.5833333333333333,0.7083333333333333,0.25,0.75,0.125,0.125,0.125
Database Administrators,0.75,0.75,0.5833333333333333,0.5,0.5,0.49999999999999994,0.5,0.5,0.5833333333333333,0.3333333333333333,0.5,0.41666666666666663,0.5,0.5,0.5
Detectives and Criminal Investigators,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5555555555555555,0.3333333333333333,0.1111111111111111,0.0,0.4444444444444444
Dishwashers,0.5,0.5833333333333334,0.8333333333333334,0.41666666666666663,0.49999999999999994,0.08333333333333333,0.16666666666666666,0.6666666666666666,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.49999999999999994,0.41666666666666663,0.08333333333333333,0.49999999999999994
"Educational, Guidance, and Career Counselors and Advisors",0.5833333333333333,0.3333333333333333,0.3333333333333333,0.375,0.25,0.25,0.29166666666666663,0.3333333333333333,0.375,0.5,0.3333333333333333,0.375,0.20833333333333331,0.3333333333333333,0.3333333333333333
Electrical Engineers,0.75,0.75,0.75,0.47222222222222215,0.3611111111111111,0.6944444444444443,0.5833333333333334,0.75,0.8333333333333334,0.3055555555555555,0.5833333333333334,0.611111111111111,0.5,0.5277777777777778,0.47222222222222215
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",0.75,0.5,0.75,0.3333333333333333,0.75,0.49999999999999994,0.3333333333333333,0.5,0.6666666666666666,0.5833333333333333,0.75,0.25,0.75,0.75,0.5
Electricians,0.5555555555555555,0.5277777777777778,0.5833333333333334,0.75,0.75,0.5555555555555555,0.5,0.5,0.5,0.5277777777777778,0.6666666666666666,0.6388888888888888,0.5833333333333333,0.5833333333333333,0.5833333333333333
Embalmers,0.6666666666666666,0.5,0.25,0.5833333333333333,0.25,0.5,0.25,0.25,0.25,0.25,0.5,0.3333333333333333,0.25,0.3333333333333333,0.25
Emergency Management Directors,0.5,0.5,0.75,0.75,0.5,0.25,0.5,0.5,0.6666666666666666,0.41666666666666663,0.75,0.5,0.5,0.25,0.5
"English Language and Literature Teachers, Postsecondary",0.5555555555555555,0.7777777777777777,0.8888888888888888,0.1111111111111111,0.6666666666666666,0.2222222222222222,0.0,1.0,1.0,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.0
Environmental Economists,0.6666666666666666,0.625,0.5833333333333333,0.625,0.41666666666666663,0.25,0.375,0.41666666666666663,0.5,0.37499999999999994,0.49999999999999994,0.49999999999999994,0.24999999999999997,0.25,0.3333333333333333
Facilities Managers,0.6666666666666666,0.5,0.611111111111111,0.8333333333333334,0.7777777777777778,0.2222222222222222,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,0.5
Fashion Designers,0.7142857142857143,0.6666666666666666,0.47619047619047616,0.38095238095238093,0.2857142857142857,0.09523809523809523,0.14285714285714285,0.4761904761904762,0.619047619047619,0.4761904761904763,0.3333333333333333,0.42857142857142855,0.38095238095238093,0.19047619047619047,0.23809523809523808
File Clerks,0.8,0.6666666666666666,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.39999999999999997,0.4666666666666666,0.6000000000000001,0.6666666666666666,0.8,0.7333333333333333,0.6,0.26666666666666666,0.3333333333333333,0.13333333333333333
Financial Examiners,0.5333333333333333,0.6,0.6,0.8,0.6,0.4,0.5333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5333333333333333,0.6666666666666666,0.6,0.6,0.5333333333333333
Financial Managers,0.0,0.6666666666666666,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0,0.2222222222222222,0.0,0.3333333333333333,0.0,0.4444444444444444,0.0,0.0,0.0
Firefighters,0.7777777777777777,0.6944444444444443,0.7499999999999999,0.6666666666666666,0.5,0.27777777777777773,0.3333333333333333,0.8333333333333334,0.75,0.7777777777777778,0.8333333333333334,0.6388888888888888,0.38888888888888884,0.4166666666666667,0.3611111111111111
First-Line Supervisors of Construction Trades and Extraction Workers,0.5,0.5,0.5,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.27777777777777773,0.7222222222222223,0.38888888888888884,0.38888888888888884,0.5,0.4444444444444444,0.4444444444444444,0.5,0.4444444444444444
Fish and Game Wardens,0.08333333333333333,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.5833333333333333,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0
Flight Attendants,0.7083333333333333,0.6666666666666666,0.625,0.45833333333333326,0.45833333333333326,0.41666666666666663,0.375,0.6666666666666666,0.7083333333333333,0.5833333333333333,0.4583333333333333,0.41666666666666663,0.41666666666666663,0.5,0.5
Floral Designers,1.0,1.0,1.0,1.0,0.8666666666666666,0.3333333333333333,0.6666666666666666,1.0,1.0,0.6666666666666666,0.8,0.6,0.6666666666666667,0.8666666666666668,0.5333333333333333
Freight Forwarders,0.4666666666666667,0.36666666666666664,0.5666666666666667,0.4666666666666666,0.4,0.36666666666666664,0.2,0.5333333333333333,0.36666666666666664,0.3333333333333333,0.4333333333333333,0.3666666666666667,0.2333333333333333,0.4,0.3
Fundraisers,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.4,0.4,0.5999999999999999,0.4,0.6,0.6,0.3333333333333333,0.4,0.5333333333333333,0.4,0.4,0.4
Glaziers,0.6666666666666666,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.5555555555555555,0.1111111111111111,0.6666666666666666,0.2222222222222222,0.5555555555555555,0.0,0.0,0.5555555555555555
Graphic Designers,0.6666666666666667,0.75,0.75,0.6666666666666666,0.4166666666666667,0.37499999999999994,0.5,0.6666666666666667,0.75,0.625,0.6666666666666666,0.5,0.5833333333333333,0.5,0.4166666666666667
Health Education Specialists,0.7083333333333333,0.7083333333333333,0.49999999999999994,0.25,0.29166666666666663,0.29166666666666663,0.375,0.7083333333333333,0.5833333333333333,0.5,0.625,0.7083333333333333,0.3333333333333333,0.375,0.3333333333333333
Healthcare Social Workers,0.8095238095238094,0.5714285714285714,0.5714285714285714,0.38095238095238093,0.6666666666666666,0.3333333333333333,0.19047619047619047,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.47619047619047616,0.47619047619047616,0.2857142857142857,0.19047619047619047
Heavy and Tractor-Trailer Truck Drivers,0.4,0.5333333333333333,0.4,0.7333333333333333,0.2,0.4666666666666666,0.2,0.6,0.6,0.2,0.5333333333333333,0.5333333333333333,0.2,0.2,0.3333333333333333
Hydrologists,0.6944444444444443,0.611111111111111,0.49999999999999994,0.38888888888888884,0.4166666666666666,0.47222222222222227,0.3055555555555556,0.6944444444444445,0.5833333333333334,0.5277777777777778,0.5833333333333334,0.22222222222222224,0.3333333333333333,0.4444444444444444,0.27777777777777773
Industrial Engineers,0.5555555555555555,0.5277777777777778,0.38888888888888884,0.4166666666666667,0.3333333333333333,0.6666666666666666,0.611111111111111,0.47222222222222215,0.5277777777777778,0.5555555555555555,0.5,0.19444444444444442,0.5833333333333334,0.5833333333333334,0.5833333333333334
Industrial Machinery Mechanics,0.38888888888888884,0.5555555555555555,0.611111111111111,0.5555555555555556,0.38888888888888884,0.5,0.27777777777777773,0.7777777777777777,0.3333333333333333,0.5555555555555556,0.3333333333333333,0.4444444444444445,0.05555555555555555,0.3888888888888889,0.16666666666666666
Industrial-Organizational Psychologists,0.3333333333333333,0.49999999999999994,0.6666666666666666,0.41666666666666663,0.5,0.6666666666666666,0.5,0.75,0.6666666666666666,0.5833333333333333,0.5,0.25,0.08333333333333333,0.41666666666666663,0.5
Insurance Claims and Policy Processing Clerks,0.7407407407407407,0.7777777777777778,0.8148148148148148,0.7777777777777778,0.7777777777777778,0.2592592592592593,0.6666666666666666,0.8888888888888888,0.8148148148148149,0.48148148148148145,0.8518518518518517,0.4074074074074074,0.6666666666666666,0.5185185185185185,0.6296296296296295
Interior Designers,0.2,0.06666666666666667,0.4,0.3333333333333333,0.06666666666666667,0.4666666666666666,0.0,0.2,0.4,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.06666666666666667,0.0,0.13333333333333333
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",1.0,0.8888888888888888,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.5555555555555555,0.6666666666666666,1.0,1.0,0.4444444444444444,1.0,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.3333333333333333
"Judges, Magistrate Judges, and Magistrates",0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.0,0.3333333333333333
Judicial Law Clerks,0.6,0.6666666666666666,0.4,0.6666666666666667,0.2,0.4666666666666666,0.2,0.6,0.7333333333333333,0.4666666666666667,0.6,0.5333333333333333,0.3333333333333333,0.26666666666666666,0.2
"Kindergarten Teachers, Except Special Education",0.3333333333333333,0.5555555555555556,0.3888888888888889,0.3888888888888889,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.611111111111111,0.6666666666666666,0.3333333333333333,0.5,0.5,0.3888888888888889,0.3333333333333333,0.3333333333333333
"Laborers and Freight, Stock, and Material Movers, Hand",1.0,1.0,1.0,1.0,1.0,0.1111111111111111,1.0,1.0,1.0,0.6666666666666666,1.0,0.7777777777777777,1.0,1.0,1.0
Landscaping and Groundskeeping Workers,0.4666666666666666,0.8666666666666666,0.4666666666666666,0.6,0.4,0.5333333333333334,0.2,1.0,0.8,0.4666666666666666,0.6,0.4666666666666667,0.4,0.2,0.8
Laundry and Dry-Cleaning Workers,0.25,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.25,0.16666666666666666,0.0,0.5,0.5,0.41666666666666663,0.5,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333
Lawyers,0.75,0.8333333333333334,0.8055555555555555,0.6666666666666666,0.5277777777777778,0.3888888888888889,0.3055555555555555,0.8333333333333334,0.8333333333333334,0.49999999999999994,0.8055555555555555,0.611111111111111,0.4166666666666667,0.4166666666666667,0.3611111111111111
Legislators,0.6,0.6,0.6,0.4666666666666666,0.4,0.4666666666666667,0.4,0.6,0.6,0.5333333333333333,0.6,0.5333333333333333,0.4,0.4,0.4
"Library Science Teachers, Postsecondary",0.3333333333333333,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
Loan Officers,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.5,0.6666666666666666,0.27777777777777773,0.3333333333333333,0.2222222222222222
Locomotive Engineers,0.5,0.75,0.5,0.25,0.3333333333333333,0.08333333333333333,0.5,0.5,0.25,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.25,0.08333333333333333,0.0
Machinists,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.7777777777777777,0.611111111111111,0.3333333333333333,0.2777777777777778,0.8333333333333334,0.861111111111111,0.7777777777777777,0.6666666666666666,0.5833333333333334,0.4444444444444444,0.47222222222222227,0.4166666666666667
Maids and Housekeeping Cleaners,0.611111111111111,0.6666666666666666,0.5,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.38888888888888884,0.6666666666666666,0.5,0.5,0.6666666666666666,0.3333333333333333,0.27777777777777773,0.2222222222222222,0.4444444444444444
"Maintenance Workers, Machinery",0.6666666666666666,0.611111111111111,0.5555555555555556,0.4444444444444444,0.5555555555555555,0.611111111111111,0.27777777777777773,0.611111111111111,0.611111111111111,0.5,0.6666666666666666,0.3888888888888889,0.27777777777777773,0.4444444444444444,0.5
"Maintenance and Repair Workers, General",0.0,0.0,0.3333333333333333,0.0,0.0,0.5555555555555555,0.0,0.3333333333333333,0.0,0.0,0.2222222222222222,0.3333333333333333,0.0,0.0,0.0
Management Analysts,0.3333333333333333,0.2222222222222222,0.6666666666666666,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.5555555555555555,0.3333333333333333,0.1111111111111111,0.3333333333333333
Manicurists and Pedicurists,0.3333333333333333,0.5555555555555555,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.0,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.5555555555555555,0.3333333333333333,0.2222222222222222,0.1111111111111111
Marriage and Family Therapists,0.4444444444444444,0.3611111111111111,0.38888888888888884,0.4166666666666666,0.38888888888888884,0.47222222222222215,0.08333333333333333,0.4444444444444445,0.47222222222222215,0.24999999999999997,0.25,0.4166666666666667,0.3055555555555555,0.1111111111111111,0.16666666666666666
Mathematicians,0.7777777777777777,0.75,0.75,0.5,0.4444444444444444,0.4166666666666666,0.3333333333333333,0.75,0.75,0.611111111111111,0.6944444444444445,0.49999999999999994,0.5,0.5,0.5
Mechanical Engineers,0.3611111111111111,0.3611111111111111,0.3055555555555555,0.5833333333333334,0.5277777777777778,0.611111111111111,0.5,0.47222222222222215,0.47222222222222215,0.4444444444444444,0.5555555555555555,0.47222222222222215,0.611111111111111,0.5,0.5
Mental Health Counselors,0.5833333333333334,0.3611111111111111,0.5,0.3055555555555555,0.2222222222222222,0.38888888888888884,0.16666666666666666,0.5833333333333334,0.5277777777777778,0.38888888888888884,0.3611111111111111,0.27777777777777773,0.05555555555555555,0.19444444444444442,0.13888888888888887
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.7777777777777777,0.7777777777777777,0.5555555555555555,0.4444444444444444,0.5555555555555555,0.6666666666666666,0.3333333333333333,0.5555555555555555,0.6666666666666666,0.5555555555555555,0.5555555555555555,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.3333333333333333
Musicians and Singers,0.5,0.75,0.3333333333333333,0.5833333333333333,0.41666666666666663,0.25,0.41666666666666663,0.3333333333333333,0.3333333333333333,0.41666666666666663,0.6666666666666666,0.5833333333333333,0.25,0.5,0.25
"News Analysts, Reporters, and Journalists",0.9333333333333333,0.6,0.6,0.4666666666666667,0.8,0.6666666666666666,0.4,0.7333333333333333,0.4666666666666667,0.5333333333333333,0.4666666666666667,0.4,0.5333333333333333,0.4666666666666666,0.4
Nurse Practitioners,0.7666666666666667,0.8,0.8,0.5333333333333333,0.5,0.5666666666666667,0.5,0.7333333333333333,0.7333333333333333,0.5999999999999999,0.6,0.4666666666666666,0.6666666666666666,0.7,0.6333333333333334
"Nursing Instructors and Teachers, Postsecondary",0.3333333333333333,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.7777777777777778,0.3333333333333333,0.2222222222222222,0.0
Occupational Health and Safety Specialists,0.5666666666666667,0.5999999999999999,0.5999999999999999,0.6,0.4333333333333333,0.4666666666666666,0.4333333333333333,0.5666666666666667,0.6666666666666666,0.5666666666666667,0.5666666666666667,0.4,0.4666666666666667,0.4333333333333333,0.36666666666666664
"Painters, Construction and Maintenance",0.7777777777777777,0.611111111111111,0.4444444444444444,0.611111111111111,0.0,0.3333333333333333,0.1111111111111111,0.5555555555555555,0.4444444444444444,0.611111111111111,0.7222222222222222,0.5,0.2222222222222222,0.27777777777777773,0.16666666666666666
Paralegals and Legal Assistants,0.4,0.2,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.4666666666666666,0.2,0.6,0.6666666666666667,0.0,0.6,0.4666666666666667,0.4666666666666666,0.4,0.2
Paramedics,0.7000000000000001,0.7,0.7,0.7,0.7,0.4333333333333334,0.4333333333333333,0.5333333333333333,0.6,0.4333333333333334,0.5666666666666667,0.6666666666666666,0.5666666666666667,0.6,0.5
Personal Financial Advisors,0.3333333333333333,0.08333333333333333,0.6666666666666666,0.25,0.16666666666666666,0.08333333333333333,0.16666666666666666,1.0,0.5,0.41666666666666663,0.5,0.25,0.25,0.25,0.25
Pest Control Workers,0.5185185185185185,0.5925925925925926,0.8518518518518517,0.4074074074074074,0.6296296296296295,0.4074074074074074,0.4444444444444444,0.7037037037037037,0.4444444444444444,0.5185185185185185,0.5555555555555556,0.37037037037037035,0.37037037037037035,0.3333333333333333,0.37037037037037035
Photographers,0.6,0.7333333333333333,0.7999999999999999,0.5333333333333334,0.3333333333333333,0.4666666666666666,0.4666666666666666,0.5333333333333333,0.6666666666666666,0.7999999999999999,0.5333333333333333,0.3333333333333333,0.6,0.3333333333333333,0.26666666666666666
"Plumbers, Pipefitters, and Steamfitters",0.625,0.75,0.5833333333333333,0.4583333333333333,0.625,0.4583333333333333,0.375,0.75,0.6666666666666667,0.3333333333333333,0.75,0.5833333333333333,0.625,0.375,0.4583333333333333
Police and Sheriff's Patrol Officers,0.5833333333333334,0.6666666666666666,0.75,0.5,0.5,0.25,0.41666666666666663,0.8333333333333334,0.75,0.41666666666666663,0.5,0.41666666666666663,0.3333333333333333,0.6666666666666666,0.25
